;contractID;symbol;expiration;strike;type;last;mark;bid;bid_size;ask;ask_size;volume;open_interest;date;implied_volatility;delta;gamma;theta;vega;rho;underlying;price_date
0;AAPL250314C00100000;AAPL;2025-03-14;100.00;call;133.96;117.00;116.70;1;117.30;1;0;0;2025-03-12;2.88433;1.00000;0.00000;-0.01186;0.00000;0.00548;AAPL;2025-03-12
1;AAPL250314P00100000;AAPL;2025-03-14;100.00;put;0.01;0.01;0.00;0;0.01;12500;1;1215;2025-03-12;3.38316;-0.00064;0.00004;-0.03042;0.00036;-0.00001;AAPL;2025-03-12
2;AAPL250314C00110000;AAPL;2025-03-14;110.00;call;107.10;107.03;106.75;1;107.30;1;2;1;2025-03-12;3.22600;0.99849;0.00009;-0.07670;0.00079;0.00601;AAPL;2025-03-12
3;AAPL250314P00110000;AAPL;2025-03-14;110.00;put;0.01;0.01;0.00;0;0.01;1510;2;4;2025-03-12;2.98714;-0.00073;0.00005;-0.03009;0.00040;-0.00001;AAPL;2025-03-12
4;AAPL250314C00120000;AAPL;2025-03-14;120.00;call;97.20;97.03;96.75;1;97.30;1;2;9;2025-03-12;2.80955;0.99843;0.00011;-0.07167;0.00082;0.00655;AAPL;2025-03-12
5;AAPL250314P00120000;AAPL;2025-03-14;120.00;put;0.00;0.01;0.00;0;0.01;1210;0;31;2025-03-12;2.62480;-0.00083;0.00007;-0.02972;0.00045;-0.00001;AAPL;2025-03-12
6;AAPL250314C00130000;AAPL;2025-03-14;130.00;call;93.32;87.03;86.75;1;87.30;1;0;1;2025-03-12;2.42709;0.99837;0.00013;-0.06662;0.00084;0.00710;AAPL;2025-03-12
7;AAPL250314P00130000;AAPL;2025-03-14;130.00;put;0.00;0.01;0.00;0;0.01;6666;0;1445;2025-03-12;2.29036;-0.00094;0.00009;-0.02931;0.00051;-0.00001;AAPL;2025-03-12
8;AAPL250314C00140000;AAPL;2025-03-14;140.00;call;75.22;77.03;76.75;9;77.30;9;36;38;2025-03-12;2.07344;0.99832;0.00016;-0.06156;0.00087;0.00765;AAPL;2025-03-12
9;AAPL250314P00140000;AAPL;2025-03-14;140.00;put;0.00;0.01;0.00;0;0.01;150;0;1089;2025-03-12;1.97924;-0.00109;0.00011;-0.02884;0.00058;-0.00001;AAPL;2025-03-12
10;AAPL250314C00145000;AAPL;2025-03-14;145.00;call;78.37;72.03;71.75;9;72.30;9;0;5;2025-03-12;1.90607;0.99830;0.00018;-0.05902;0.00088;0.00792;AAPL;2025-03-12
11;AAPL250314P00145000;AAPL;2025-03-14;145.00;put;0.00;0.01;0.00;0;0.01;150;0;1953;2025-03-12;1.83122;-0.00117;0.00013;-0.02858;0.00062;-0.00001;AAPL;2025-03-12
12;AAPL250314C00150000;AAPL;2025-03-14;150.00;call;78.17;67.03;66.75;9;67.30;9;0;22;2025-03-12;1.74449;0.99828;0.00020;-0.05648;0.00089;0.00820;AAPL;2025-03-12
13;AAPL250314P00150000;AAPL;2025-03-14;150.00;put;0.01;0.01;0.00;0;0.01;300;690;2131;2025-03-12;1.68763;-0.00127;0.00015;-0.02828;0.00067;-0.00002;AAPL;2025-03-12
14;AAPL250314C00152500;AAPL;2025-03-14;152.50;call;0.00;64.53;64.25;9;64.80;9;0;0;2025-03-12;1.66568;0.99827;0.00021;-0.05521;0.00089;0.00833;AAPL;2025-03-12
15;AAPL250314P00152500;AAPL;2025-03-14;152.50;put;0.01;0.01;0.00;0;0.04;1;1;0;2025-03-12;1.61751;-0.00132;0.00017;-0.02814;0.00070;-0.00002;AAPL;2025-03-12
16;AAPL250314C00155000;AAPL;2025-03-14;155.00;call;62.95;62.02;61.75;5;62.30;5;1;5;2025-03-12;1.41019;0.99948;0.00008;-0.02889;0.00030;0.00848;AAPL;2025-03-12
17;AAPL250314P00155000;AAPL;2025-03-14;155.00;put;0.01;0.01;0.00;0;0.01;10;238;2357;2025-03-12;1.54830;-0.00138;0.00018;-0.02799;0.00072;-0.00002;AAPL;2025-03-12
18;AAPL250314C00157500;AAPL;2025-03-14;157.50;call;0.00;59.52;59.25;5;59.80;5;0;0;2025-03-12;1.32666;0.99954;0.00008;-0.02743;0.00026;0.00862;AAPL;2025-03-12
19;AAPL250314P00157500;AAPL;2025-03-14;157.50;put;0.00;0.01;0.00;0;0.10;29;0;0;2025-03-12;1.48001;-0.00144;0.00020;-0.02781;0.00075;-0.00002;AAPL;2025-03-12
20;AAPL250314C00160000;AAPL;2025-03-14;160.00;call;61.41;57.02;56.75;9;57.30;9;0;2;2025-03-12;1.24175;0.99961;0.00007;-0.02594;0.00022;0.00876;AAPL;2025-03-12
21;AAPL250314P00160000;AAPL;2025-03-14;160.00;put;0.01;0.01;0.00;0;0.01;10;653;2576;2025-03-12;1.41279;-0.00150;0.00022;-0.02766;0.00078;-0.00002;AAPL;2025-03-12
22;AAPL250314C00162500;AAPL;2025-03-14;162.50;call;0.00;54.52;54.25;9;54.80;9;0;0;2025-03-12;1.15349;0.99970;0.00006;-0.02439;0.00018;0.00890;AAPL;2025-03-12
23;AAPL250314P00162500;AAPL;2025-03-14;162.50;put;0.01;0.01;0.00;0;0.10;30;13;3;2025-03-12;1.34632;-0.00157;0.00024;-0.02748;0.00082;-0.00002;AAPL;2025-03-12
24;AAPL250314C00165000;AAPL;2025-03-14;165.00;call;55.15;52.02;51.75;9;52.30;9;0;4;2025-03-12;1.05715;0.99980;0.00004;-0.02276;0.00012;0.00904;AAPL;2025-03-12
25;AAPL250314P00165000;AAPL;2025-03-14;165.00;put;0.01;0.01;0.00;0;0.03;1;994;1083;2025-03-12;1.28062;-0.00165;0.00026;-0.02728;0.00085;-0.00002;AAPL;2025-03-12
