expiration,strike,implied_volatility
1W,3461.2,95.79
2W,3461.2,79.03
3W,3461.2,70.46
1M,3461.2,63.01
5W,3461.2,60.82
6W,3461.2,57.67
7W,3461.2,55.1
2M,3461.2,51.62
9W,3461.2,51.13
11W,3461.2,48.13
3M,3461.2,45.59
6M,3461.2,37.51
9M,3461.2,34.41
10M,3461.2,33.57
1Y,3461.2,32.27
18M,3461.2,29.33
2Y,3461.2,27.62
3Y,3461.2,25.74
1W,4615,56.29
2W,4615,44.68
3W,4615,39.16
1M,4615,34.8
5W,4615,33.56
6W,4615,32.32
7W,4615,31.28
2M,4615,29.82
9W,4615,29.62
11W,4615,28.72
3M,4615,27.95
6M,4615,25.35
9M,4615,24.08
10M,4615,23.7
1Y,4615,23.38
18M,4615,22.4
2Y,4615,21.84
3Y,4615,21.49
1W,5191.8,31.94
2W,5191.8,26.17
3W,5191.8,24.77
1M,5191.8,23.36
5W,5191.8,22.84
6W,5191.8,22.88
7W,5191.8,22.45
2M,5191.8,22.02
9W,5191.8,21.97
11W,5191.8,21.64
3M,5191.8,21.35
6M,5191.8,20.7
9M,5191.8,20.38
10M,5191.8,20.18
1Y,5191.8,20.18
18M,5191.8,19.9
2Y,5191.8,19.81
3Y,5191.8,19.95
1W,5480.3,22.08
2W,5480.3,21.2
3W,5480.3,19.94
1M,5480.3,19.18
5W,5480.3,18.81
6W,5480.3,19.08
7W,5480.3,18.9
2M,5480.3,18.76
9W,5480.3,18.74
11W,5480.3,18.69
3M,5480.3,18.61
6M,5480.3,18.62
9M,5480.3,18.64
10M,5480.3,18.53
1Y,5480.3,18.67
18M,5480.3,18.7
2Y,5480.3,18.81
3Y,5480.3,19.21
1W,5624.5,19.39
2W,5624.5,19.05
3W,5624.5,18.0
1M,5624.5,17.4
5W,5624.5,17.05
6W,5624.5,17.38
7W,5624.5,17.24
2M,5624.5,17.17
9W,5624.5,17.17
11W,5624.5,17.19
3M,5624.5,17.18
6M,5624.5,17.52
9M,5624.5,17.73
10M,5624.5,17.68
1Y,5624.5,17.89
18M,5624.5,18.09
2Y,5624.5,18.3
3Y,5624.5,18.82
1W,5768.7,16.57
2W,5768.7,16.64
3W,5768.7,15.88
1M,5768.7,15.41
5W,5768.7,15.06
6W,5768.7,15.47
7W,5768.7,15.38
2M,5768.7,15.42
9W,5768.7,15.43
11W,5768.7,15.55
3M,5768.7,15.62
6M,5768.7,16.36
9M,5768.7,16.79
10M,5768.7,16.8
1Y,5768.7,17.08
18M,5768.7,17.46
2Y,5768.7,17.77
3Y,5768.7,18.43
1W,5826.4,15.03
2W,5826.4,15.13
3W,5826.4,14.87
1M,5826.4,14.5
5W,5826.4,14.01
6W,5826.4,14.67
7W,5826.4,14.61
2M,5826.4,14.7
9W,5826.4,14.72
11W,5826.4,14.88
3M,5826.4,14.98
6M,5826.4,15.88
9M,5826.4,16.4
10M,5826.4,16.43
1Y,5826.4,16.75
18M,5826.4,17.2
2Y,5826.4,17.56
3Y,5826.4,18.27
1W,5912.9,13.02
2W,5912.9,13.83
3W,5912.9,13.77
1M,5912.9,13.48
5W,5912.9,13.21
6W,5912.9,13.6
7W,5912.9,13.58
2M,5912.9,13.71
9W,5912.9,13.74
11W,5912.9,13.94
3M,5912.9,14.07
6M,5912.9,15.17
9M,5912.9,15.81
10M,5912.9,15.87
1Y,5912.9,16.24
18M,5912.9,16.81
2Y,5912.9,17.24
3Y,5912.9,18.03
1W,6057.2,13.97
2W,6057.2,13.12
3W,6057.2,12.58
1M,6057.2,12.28
5W,6057.2,11.99
6W,6057.2,12.46
7W,6057.2,12.4
2M,6057.2,12.49
9W,6057.2,12.51
11W,6057.2,12.69
3M,6057.2,12.8
6M,6057.2,14.03
9M,6057.2,14.82
10M,6057.2,14.94
1Y,6057.2,15.38
18M,6057.2,16.16
2Y,6057.2,16.7
3Y,6057.2,17.63
1W,6114.8,15.91
2W,6114.8,13.91
3W,6114.8,12.66
1M,6114.8,12.08
5W,6114.8,11.78
6W,6114.8,12.17
7W,6114.8,12.11
2M,6114.8,12.17
9W,6114.8,12.19
11W,6114.8,12.34
3M,6114.8,12.41
6M,6114.8,13.6
9M,6114.8,14.44
10M,6114.8,14.57
1Y,6114.8,15.04
18M,6114.8,15.9
2Y,6114.8,16.49
3Y,6114.8,17.46
1W,6201.4,18.98
2W,6201.4,15.5
3W,6201.4,13.45
1M,6201.4,12.25
5W,6201.4,11.98
6W,6201.4,11.88
7W,6201.4,11.79
2M,6201.4,11.83
9W,6201.4,11.85
11W,6201.4,11.95
3M,6201.4,11.97
6M,6201.4,13.02
9M,6201.4,13.88
10M,6201.4,14.03
1Y,6201.4,14.54
18M,6201.4,15.51
2Y,6201.4,16.16
3Y,6201.4,17.22
1W,6345.6,23.82
2W,6345.6,18.49
3W,6345.6,15.82
1M,6345.6,13.8
5W,6345.6,13.4
6W,6345.6,12.55
7W,6345.6,12.03
2M,6345.6,11.65
9W,6345.6,11.62
11W,6345.6,11.59
3M,6345.6,11.56
6M,6345.6,12.21
9M,6345.6,13.03
10M,6345.6,13.19
1Y,6345.6,13.75
18M,6345.6,14.88
2Y,6345.6,15.63
3Y,6345.6,16.8
1W,6489.8,28.26
2W,6489.8,21.74
3W,6489.8,18.64
1M,6489.8,16.11
5W,6489.8,15.46
6W,6489.8,14.45
7W,6489.8,13.62
2M,6489.8,12.57
9W,6489.8,12.44
11W,6489.8,11.92
3M,6489.8,11.58
6M,6489.8,11.63
9M,6489.8,12.33
10M,6489.8,12.48
1Y,6489.8,13.04
18M,6489.8,14.28
2Y,6489.8,15.11
3Y,6489.8,16.4
1W,6634,32.37
2W,6634,24.95
3W,6634,21.43
1M,6634,18.49
5W,6634,17.7
6W,6634,16.53
7W,6634,15.59
2M,6634,14.3
9W,6634,14.12
11W,6634,13.21
3M,6634,12.43
6M,6634,11.33
9M,6634,11.8
10M,6634,11.91
1Y,6634,12.45
18M,6634,13.72
2Y,6634,14.61
3Y,6634,16.0
1W,6922.5,39.72
2W,6922.5,30.84
3W,6922.5,26.58
1M,6922.5,22.99
5W,6922.5,21.99
6W,6922.5,20.53
7W,6922.5,19.39
2M,6922.5,17.83
9W,6922.5,17.61
11W,6922.5,16.3
3M,6922.5,15.19
6M,6922.5,11.76
9M,6922.5,11.34
10M,6922.5,11.29
1Y,6922.5,11.64
18M,6922.5,12.78
2Y,6922.5,13.71
3Y,6922.5,15.25
1W,7210.9,46.11
2W,7210.9,36.09
3W,7210.9,31.2
1M,7210.9,27.06
5W,7210.9,25.9
6W,7210.9,24.2
7W,7210.9,22.87
2M,7210.9,21.06
9W,7210.9,20.8
11W,7210.9,19.24
3M,7210.9,17.94
6M,7210.9,13.3
9M,7210.9,11.69
10M,7210.9,11.41
1Y,7210.9,11.38
18M,7210.9,12.13
2Y,7210.9,12.98
3Y,7210.9,14.57
1W,7499.3,51.72
2W,7499.3,40.79
3W,7499.3,35.37
1M,7499.3,30.76
5W,7499.3,29.46
6W,7499.3,27.56
7W,7499.3,26.06
2M,7499.3,24.02
9W,7499.3,23.73
11W,7499.3,21.97
3M,7499.3,20.49
6M,7499.3,15.14
9M,7499.3,12.67
10M,7499.3,12.17
1Y,7499.3,11.68
18M,7499.3,11.78
2Y,7499.3,12.44
3Y,7499.3,13.97
1W,8653.1,68.58
2W,8653.1,55.56
3W,8653.1,48.76
1M,8653.1,42.8
5W,8653.1,41.09
6W,8653.1,38.57
7W,8653.1,36.57
2M,8653.1,33.82
9W,8653.1,33.43
11W,8653.1,31.05
3M,8653.1,29.03
6M,8653.1,21.7
9M,8653.1,17.86
10M,8653.1,16.89
1Y,8653.1,15.44
18M,8653.1,12.77
2Y,8653.1,11.92
3Y,8653.1,12.49
