Maturity,Rate,Matu
3M,2.256598533,0.25
6M,2.083945689,0.5
9M,1.977313536,0.75
1Y,1.919660844,1.0
2Y,1.961367863,2.0
3Y,2.164295062,3.0
4Y,2.377499726,4.0
5Y,2.559849156,5.0
6Y,2.704760933,6.0
7Y,2.815238638,7.0
8Y,2.89613214,8.0
9Y,2.952030102,9.0
10Y,2.986858975,10.0
11Y,3.003926788,11.0
12Y,3.006040844,12.0
13Y,2.995608885,13.0
14Y,2.974712688,14.0
15Y,2.9451606,15.0
16Y,2.908526437,16.0
17Y,2.866179849,17.0
18Y,2.81931123,18.0
19Y,2.768952875,19.0
20Y,2.715997387,20.0
21Y,2.661213878,21.0
22Y,2.605262348,22.0
23Y,2.548706477,23.0
24Y,2.492025033,24.0
25Y,2.435622042,25.0
26Y,2.379835848,26.0
27Y,2.324947199,27.0
28Y,2.271186431,28.0
29Y,2.218739871,29.0
30Y,2.167755521,30.0
